,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alyssa Thomas,4,14,4,13,0,1,5,6,8,6,4,1,1,1,0,13,0.35714285714285715,4.0
1,Lexie Brown,9,11,6,7,3,4,0,0,0,0,5,1,0,3,1,21,0.0,1.6666666666666667
2,Brionna Jones,2,5,2,5,0,0,2,2,1,4,0,0,0,1,2,6,0.4,0.0
3,Katie Rutan,4,4,1,1,3,3,0,0,1,1,2,0,0,1,0,11,0.0,2.0
4,Alicia DeVaughn,0,2,0,2,0,0,1,2,1,3,1,0,1,0,1,1,0.5,0.0
13,School Totals,35,65,28,52,7,13,13,18,17,27,20,7,4,11,13,90,0.2,1.8181818181818181
