,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
,Unnamed: 0_level_1,1,2,3,4,OT,T
0,Purdue,17,16,22,19,8,82
1,Notre Dame,13,32,21,8,14,88
