,Central Arkansas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kendara Watts,5,12,3,10,2,2,0,0,3,1,3,0,0,0,0,12,0.0,0.0
1,Taylor Baudoin,6,11,5,8,1,3,0,0,7,3,0,0,0,1,4,13,0.0,0.0
2,Maggie Proffitt,4,17,2,11,2,6,1,2,0,2,0,0,0,0,3,11,0.058823529411764705,0.0
3,Brianna Mullins,2,6,1,3,1,3,0,0,0,3,2,1,0,1,1,5,0.0,2.0
4,Jameka Watkins,0,2,0,2,0,0,1,2,1,3,6,0,0,6,2,1,0.5,1.0
12,School Totals,23,70,16,50,7,20,7,10,16,20,14,3,1,10,17,60,0.1,1.4
