,Duquesne ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,April Robinson,5,12,0,0,5,12,1,1,2,4,4,0,0,4,3,16,0.08333333333333333,1.0
1,Amadea Szamosi,1,11,1,7,0,4,0,2,3,2,0,1,0,0,2,2,0.0,0.0
2,Deva'Nyar Workman,7,22,7,17,0,5,3,3,4,2,3,1,1,2,1,17,0.13636363636363635,1.5
3,Kadri-Ann Lass,4,11,2,8,2,3,0,0,1,3,0,0,0,2,2,10,0.0,0.0
4,Emilie Gronas,1,3,0,1,1,2,0,0,0,3,1,1,0,1,2,3,0.0,1.0
12,School Totals,19,65,10,35,9,30,4,6,11,16,8,4,1,12,14,51,0.06153846153846154,0.6666666666666666
