,Marquette ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Natisha Hiedeman,5,11,4,6,1,5,2,2,0,6,3,2,0,4,4,13,0.18181818181818182,0.75
1,Danielle King,1,9,1,8,0,1,0,0,2,2,0,1,0,3,2,2,0.0,0.0
2,Erika Davenport,7,12,7,12,0,0,7,9,3,5,0,0,0,1,2,21,0.5833333333333334,0.0
3,Allazia Blockton,7,15,7,14,0,1,0,0,1,5,3,0,0,3,2,14,0.0,1.0
4,McKayla Yentz,3,4,0,0,3,4,0,0,0,2,0,0,0,1,1,9,0.0,0.0
7,School Totals,25,58,21,47,4,11,11,13,9,21,14,6,0,13,14,65,0.1896551724137931,1.0769230769230769
