,Green Bay ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Allie LeClaire,6,16,3,8,3,8,2,4,1,2,3,1,2,4,4,17,0.125,0.75
1,Jessica Lindstrom,4,15,1,5,3,10,0,0,4,4,3,1,1,0,2,11,0.0,0.0
2,Jen Wellnitz,3,7,3,6,0,1,0,0,3,1,5,1,0,3,5,6,0.0,1.6666666666666667
3,Caitlyn Hibner,2,11,1,4,1,7,2,2,1,5,4,0,0,1,4,7,0.18181818181818182,4.0
4,Karly Murphy,3,8,3,8,0,0,2,2,3,0,1,0,0,1,3,8,0.25,1.0
11,School Totals,28,71,19,42,9,29,12,16,17,19,21,4,4,12,24,77,0.16901408450704225,1.75
