,Minnesota ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Destiny Pitts,7,10,2,3,5,7,1,2,0,8,1,1,0,1,1,20,0.1,1.0
1,Carlie Wagner,5,13,2,6,3,7,2,2,1,0,4,1,0,1,2,15,0.15384615384615385,4.0
2,Gadiva Hubbard,5,15,3,11,2,4,4,4,0,1,2,4,0,2,3,16,0.26666666666666666,1.0
3,Kenisha Bell,6,13,6,13,0,0,14,17,0,5,4,2,0,2,2,26,1.0769230769230769,2.0
4,Bryanna Fernstrom,0,2,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0.0,0.0
12,School Totals,27,59,17,41,10,18,25,29,6,20,11,8,1,9,14,89,0.423728813559322,1.2222222222222223
