,Auburn ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brandy Montgomery,5,15,4,8,1,7,3,3,2,3,2,0,0,0,2,14,0.2,0.0
1,Katie Frerking,4,12,4,7,0,5,3,3,0,5,4,1,0,2,2,11,0.25,2.0
2,Janiah McKay,4,12,3,8,1,4,0,0,0,1,2,1,0,5,1,9,0.0,0.4
3,Jazmine Jones,0,4,0,4,0,0,0,0,2,1,1,1,0,0,4,0,0.0,0.0
4,Tra'Cee Tanner,5,14,5,14,0,0,3,6,1,7,1,0,1,3,2,13,0.21428571428571427,0.3333333333333333
10,School Totals,20,68,17,49,3,19,9,12,9,21,12,5,1,15,20,52,0.1323529411764706,0.8
