,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Baylor ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Monica McNutt,33,.214,.214,1.000,.000,2.3,0.0,1.5,11.2,0.0,0.0,12.5,11.1,47,83
1,Latia Magee,29,.365,.350,.200,.200,8.0,13.8,10.1,17.5,3.9,3.6,8.4,18.7,77,68
2,Sugar Rodgers,28,.267,.143,.357,.429,0.0,14.3,5.2,15.6,4.1,0.0,10.7,30.5,59,70
3,Shanice Fuller,22,.214,.214,.286,.000,7.0,12.1,8.9,17.9,2.6,0.0,30.0,20.8,37,73
4,Jaleesa Butler,18,.231,.231,.077,.000,8.5,37.0,19.0,0.0,0.0,11.7,7.1,35.6,50,65
6,Rubylee Wright,21,.000,.000,.167,.000,3.7,6.3,4.6,79.4,2.7,0.0,25.0,17.4,19,76
7,Sydney Wilson,16,.000,.000,.000,.667,4.8,41.7,18.3,0.0,0.0,6.6,20.5,14.0,3,66
8,Adria Crawford,14,.000,.000,.000,.000,22.0,19.0,20.9,0.0,4.1,7.5,28.6,22.9,9,64
9,Tia McBride,9,.400,.400,.000,.000,0.0,29.6,10.8,0.0,6.3,0.0,0.0,25.4,84,60
10,Alexa Roche,7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,82
11,Kenya Kirkland,3,,,,,25.6,0.0,16.3,0.0,0.0,0.0,,0.0,215,83
12,School Totals,200,.221,.193,.257,.143,28.8,76.7,46.3,75.0,11.4,13.2,14.8,100.0,47.1,70.0
