,Wright State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Angel Baker,10,20,7,17,3,3,3,5,3,9,2,4,0,3,1,26,0.15,0.6666666666666666
1,Emani Jefferson,4,10,3,6,1,4,4,5,2,4,1,0,1,3,5,13,0.4,0.3333333333333333
2,Jada Wright,1,5,1,5,0,0,0,0,1,2,2,1,0,2,4,2,0.0,1.0
3,Tyler Frierson,3,8,3,8,0,0,1,3,4,3,0,2,0,1,2,7,0.125,0.0
4,Jada Roberson,3,7,3,7,0,0,2,2,0,0,2,0,0,2,4,8,0.2857142857142857,1.0
9,School Totals,25,62,19,50,6,12,10,15,13,26,9,9,2,14,23,66,0.16129032258064516,0.6428571428571429
