,Arkansas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chelsea Dungee,5,15,2,9,3,6,14,18,1,2,2,1,0,2,3,27,0.9333333333333333,1.0
1,Makayla Daniels,3,5,1,2,2,3,3,4,0,1,0,0,0,2,5,11,0.6,0.0
2,Amber Ramirez,3,14,1,5,2,9,1,2,0,3,2,0,0,4,2,9,0.07142857142857142,0.5
3,Destiny Slocum,1,8,1,4,0,4,0,0,1,2,2,0,0,2,2,2,0.0,1.0
4,Taylah Thomas,0,1,0,1,0,0,1,2,1,5,0,1,1,0,2,1,1.0,0.0
8,School Totals,17,50,10,28,7,22,21,28,5,19,6,4,2,15,16,62,0.42,0.4
