,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Samantha Logic,4,11,4,9,0,2,4,9,0,5,7,1,0,7,0,12,0.36363636363636365,1.0
1,Ally Disterhoft,4,7,3,6,1,1,6,10,1,3,2,2,0,2,0,15,0.8571428571428571,1.0
2,Bethany Doolitte,8,16,8,16,0,0,6,6,6,5,1,2,3,1,3,22,0.375,1.0
3,Whitney Jennings,4,9,4,8,0,1,3,3,1,1,3,0,0,2,3,11,0.3333333333333333,1.5
4,Melissa Dixon,3,5,1,2,2,3,4,4,0,5,1,0,0,0,4,12,0.8,0.0
8,School Totals,30,57,25,48,5,9,23,33,10,27,17,6,3,13,14,88,0.40350877192982454,1.3076923076923077
