,Miami ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jessica Thomas,8,22,5,11,3,11,1,1,0,1,3,1,0,1,2,20,0.045454545454545456,3.0
1,Michelle Woods,3,10,3,8,0,2,0,0,1,1,3,3,0,1,5,6,0.0,3.0
2,Adrienne Motley,8,16,8,14,0,2,2,3,1,1,1,2,0,3,4,18,0.125,0.3333333333333333
3,Necole Sterling,6,11,5,10,1,1,2,3,2,5,3,2,0,2,3,15,0.18181818181818182,1.5
4,Jassany Williams,2,4,2,4,0,0,2,2,1,4,0,0,2,3,4,6,0.5,0.0
9,School Totals,29,73,24,52,5,21,7,11,9,18,10,8,3,13,24,70,0.0958904109589041,0.7692307692307693
