,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Tennessee ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Taylor Cooper,40,.360,.306,.611,.333,4.9,11.4,7.9,11.8,2.5,2.1,16.2,26.1,78,109,
1,Savanna Buck,39,.668,.667,.000,1.833,5.0,20.5,12.1,18.2,3.8,2.1,21.7,15.0,120,101,
2,Kevi Luper,38,.456,.429,.143,.095,5.1,6.0,5.5,8.4,1.3,2.2,12.1,27.8,96,114,
3,Sarah Shelton,34,.167,.167,.000,.000,23.0,6.7,15.5,0.0,0.0,14.7,14.3,8.7,68,112,
4,Jaci Bigham,30,.167,.167,.667,.000,0.0,11.4,5.3,13.6,3.3,0.0,35.7,19.8,32,107,
6,Christian Key,13,.875,.875,.500,.000,7.5,17.6,12.1,26.1,3.8,0.0,50.0,26.1,82,103,
7,Bernadett Balla,6,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,13.9,0.0,14.1,0,115,
8,School Totals,200,.413,.371,.348,.288,36.6,57.1,46.1,42.9,11.3,20.8,21.0,100.0,77.5,103.8,
