,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Hailey Van Lith,3,10,2,6,1,4,0,0,0,3,1,1,0,1,1,7,0.0,1.0
1,Dana Evans,9,20,3,12,6,8,0,2,0,3,3,1,0,2,4,24,0.0,1.5
2,Kianna Smith,3,11,1,6,2,5,0,0,2,5,3,0,1,1,1,8,0.0,3.0
3,Mykasa Robinson,3,6,3,6,0,0,1,2,4,4,3,2,1,1,3,7,0.16666666666666666,3.0
4,Olivia Cochran,1,6,1,6,0,0,0,0,3,4,1,0,0,3,4,2,0.0,0.3333333333333333
9,School Totals,26,64,16,45,10,19,1,4,11,23,11,5,3,10,17,63,0.015625,1.1
