,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Makayla Epps,11,18,6,10,5,8,3,6,1,4,2,1,0,1,1,30,0.16666666666666666,2.0
1,Maci Morris,3,9,1,4,2,5,7,8,0,3,4,2,0,2,2,15,0.7777777777777778,2.0
2,Evelyn Akhator,9,15,9,15,0,0,4,5,6,4,2,1,1,2,3,22,0.26666666666666666,1.0
3,Taylor Murray,2,8,2,7,0,1,0,0,1,1,6,0,0,0,3,4,0.0,0.0
4,Alyssa Rice,1,5,1,5,0,0,0,0,1,5,2,0,1,1,1,2,0.0,2.0
8,School Totals,26,56,19,41,7,15,14,19,9,18,18,4,2,7,12,73,0.25,2.5714285714285716
