,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jordin Canada,6,7,6,7,0,0,9,10,2,4,8,5,0,2,0,21,1.2857142857142858,4.0
1,Kennedy Burke,4,9,1,3,3,6,0,0,1,3,3,1,1,1,0,11,0.0,3.0
2,Monique Billings,4,8,4,8,0,0,7,8,4,5,0,2,1,1,3,15,0.875,0.0
3,Kelli Hayes,2,6,2,3,0,3,0,0,1,1,0,1,0,2,4,4,0.0,0.0
4,Lajahna Drummer,5,12,5,10,0,2,0,1,3,1,0,1,1,0,4,10,0.0,0.0
11,School Totals,30,62,22,43,8,19,18,23,15,22,15,12,4,10,19,86,0.2903225806451613,1.5
