,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Wells,6,11,1,2,5,9,0,0,0,1,5,1,0,2,1,17,0.0,2.5
1,Shambria Washington,2,5,2,5,0,0,2,2,1,8,7,0,0,2,1,6,0.4,3.5
2,Chennedy Carter,8,19,5,12,3,7,8,11,1,6,2,1,0,1,3,27,0.42105263157894735,2.0
3,N'dea Jones,2,4,2,4,0,0,7,8,2,6,0,0,0,2,0,11,1.75,0.0
4,Ciera Johnson,4,8,4,8,0,0,7,8,2,3,1,1,1,3,3,15,0.875,0.3333333333333333
11,School Totals,25,56,17,39,8,17,26,35,11,28,16,3,2,14,13,84,0.4642857142857143,1.1428571428571428
