,South Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Williams,7,25,6,21,1,4,2,2,3,9,6,0,0,3,1,17,0.08,2.0
1,Alisia Jenkins,4,6,4,6,0,0,7,8,3,5,1,2,2,2,3,15,1.1666666666666667,0.5
2,Laura Ferreira,2,9,0,2,2,7,0,0,1,1,2,1,2,2,2,6,0.0,1.0
3,Katelyn Weber,3,5,3,5,0,0,3,3,4,2,0,0,1,3,2,9,0.6,0.0
4,Laura Marcos Canedo,0,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
10,School Totals,24,65,21,48,3,17,22,29,16,25,13,9,7,13,13,73,0.3384615384615385,1.0
