,Michigan State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittney Thomas,4,9,3,7,1,2,2,2,0,1,3,3,0,1,4,11,0.2222222222222222,3.0
1,Lykendra Johnson,3,5,2,4,1,1,2,3,1,4,1,0,0,3,3,9,0.4,0.3333333333333333
2,Jasmine Thomas,5,13,5,10,0,3,1,1,4,2,2,2,0,3,1,11,0.07692307692307693,0.6666666666666666
3,Aisha Jefferson,7,12,5,9,2,3,1,2,1,8,3,1,0,0,3,17,0.08333333333333333,0.0
4,Allyssa DeHaan,3,9,3,8,0,1,2,2,5,6,2,0,1,0,1,8,0.2222222222222222,0.0
9,School Totals,28,68,24,52,4,16,12,14,15,27,16,8,2,10,20,72,0.17647058823529413,1.6
