,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alexis Rack,6,15,2,6,4,9,5,7,1,3,5,0,0,4,1,21,0.3333333333333333,1.25
1,Chanel Mokango,9,12,7,9,2,3,0,0,4,10,1,0,2,2,3,20,0.0,0.5
2,Armelie Lumanu,4,10,4,9,0,1,4,4,1,2,2,1,0,5,0,12,0.4,0.4
3,Mary Kathryn Govero,1,5,0,2,1,3,0,0,1,1,4,0,0,1,1,3,0.0,4.0
4,Tysheka Grimes,4,10,4,7,0,3,0,0,0,5,0,2,0,3,2,8,0.0,0.0
9,School Totals,26,59,19,40,7,19,9,11,11,30,16,5,2,17,9,68,0.15254237288135594,0.9411764705882353
