,Middle Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brandi Brown,5,14,1,4,4,10,0,0,0,5,2,0,0,1,0,14,0.0,2.0
1,Anne Marie Lanning,4,11,1,3,3,8,0,0,2,1,4,1,0,3,1,11,0.0,1.3333333333333333
2,Jackie Pickel,4,14,1,2,3,12,0,0,1,4,6,1,0,3,5,11,0.0,2.0
3,Chelsia Lymon,3,9,1,3,2,6,3,4,2,3,3,2,0,5,2,11,0.3333333333333333,0.6
4,Alysha Clark,7,17,7,16,0,1,3,4,6,8,3,1,0,2,5,17,0.17647058823529413,1.5
8,School Totals,23,65,11,28,12,37,6,8,11,21,19,5,0,14,14,64,0.09230769230769231,1.3571428571428572
