,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sabrina Ionescu,9,22,8,18,1,4,7,8,2,3,4,3,0,0,2,26,0.3181818181818182,0.0
1,Lexi Bando,2,6,1,2,1,4,0,0,0,1,1,1,0,0,2,5,0.0,0.0
2,Ruthy Hebard,8,12,8,12,0,0,1,2,3,7,0,3,2,1,3,17,0.08333333333333333,0.0
3,Maite Cazorla,4,9,4,7,0,2,5,6,0,2,3,1,0,0,4,13,0.5555555555555556,0.0
4,Satou Sabally,3,11,1,6,2,5,1,2,1,2,2,0,0,2,2,9,0.09090909090909091,1.0
8,School Totals,28,65,24,50,4,15,14,18,6,20,11,8,3,5,18,74,0.2153846153846154,2.2
