,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kiana Williams,2,6,1,3,1,3,0,0,0,2,3,0,0,6,2,5,0.0,0.5
1,Lexie Hull,4,13,3,10,1,3,1,1,1,9,2,0,0,2,4,10,0.07692307692307693,1.0
2,Haley Jones,8,14,8,14,0,0,1,1,1,7,1,0,1,4,2,17,0.07142857142857142,0.25
3,Anna Wilson,2,3,1,1,1,2,0,0,0,4,3,1,0,2,4,5,0.0,1.5
4,Cameron Brink,5,9,5,8,0,1,0,0,1,5,1,0,3,1,4,10,0.0,1.0
11,School Totals,24,57,20,43,4,14,2,2,8,37,15,1,5,18,17,54,0.03508771929824561,0.8333333333333334
