,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Nnemkadi Ogwumike,32,.505,.444,.000,.444,3.2,30.5,17.2,16.3,0.0,0.0,15.7,19.1,105,50
1,Kayla Pedersen,31,.482,.462,.077,.077,16.5,31.5,24.2,0.0,0.0,7.0,6.9,22.3,111,46
2,Jeanette Pohlen,31,.600,.600,.600,.000,0.0,3.1,1.6,29.9,3.8,3.5,9.1,17.0,130,57
3,Jayne Appel,24,.591,.500,.000,.417,12.8,8.1,10.4,18.5,0.0,0.0,12.3,32.3,123,64
4,Rosalyn Gold-Onwude,19,.143,.143,.286,.000,5.4,10.3,7.9,24.4,3.1,0.0,12.5,20.1,60,56
6,JJ Hones,18,1.000,1.000,.750,.000,11.4,0.0,5.6,20.8,0.0,0.0,20.0,13.3,156,70
7,Joslyn Tinkle,12,.357,.357,.286,.000,17.1,24.4,20.8,0.0,4.9,0.0,0.0,27.9,99,41
8,Melanie Murphy,9,.702,,,,11.4,21.7,16.7,31.7,0.0,0.0,60.2,17.7,85,56
9,Lindy La Rocque,7,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,20.5,0,70
10,Ashley Cimino,6,.000,.000,1.000,.000,0.0,32.5,16.7,23.8,0.0,0.0,0.0,8.0,60,47
11,Michelle Harrison,4,,,,,0.0,0.0,0.0,35.7,0.0,0.0,,0.0,218,70
12,Mikaela Ruef,3,.769,1.000,.000,2.000,34.2,0.0,16.7,0.0,0.0,0.0,0.0,30.0,161,70
13,Hannah Donaghe,2,,,,,0.0,48.8,25.0,0.0,0.0,0.0,,0.0,,38
14,Grace Mashore,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,70
15,School Totals,200,.499,.462,.258,.227,41.0,80.5,61.3,67.9,5.8,8.1,13.1,100.0,105.8,52.2
