,South Dakota ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chloe Lamb,2,9,1,4,1,5,1,2,3,3,3,0,0,3,1,6,0.1111111111111111,1.0
1,Allison Arens,5,10,3,4,2,6,3,3,1,2,4,2,0,1,1,15,0.3,4.0
2,Ciara Duffy,3,11,2,4,1,7,0,0,1,3,1,0,0,3,2,7,0.0,0.3333333333333333
3,Madison McKeever,2,7,0,0,2,7,0,0,0,4,1,1,0,2,1,6,0.0,0.5
4,Taylor Frederick,3,6,3,5,0,1,0,0,1,5,0,0,0,2,3,6,0.0,0.0
8,School Totals,26,63,18,29,8,34,6,9,13,26,19,5,2,17,12,66,0.09523809523809523,1.1176470588235294
