,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nnemkadi Ogwumike,9,11,9,11,0,0,5,7,4,7,2,0,1,3,1,23,0.45454545454545453,0.6666666666666666
1,Kayla Pedersen,4,9,4,6,0,3,0,0,0,12,2,0,0,4,2,8,0.0,0.5
2,Jeanette Pohlen,6,10,1,2,5,8,0,0,0,2,5,0,0,4,2,17,0.0,1.25
3,Lindy La Rocque,3,7,0,0,3,7,2,3,0,1,0,0,0,3,2,11,0.2857142857142857,0.0
4,Chiney Ogwumike,7,14,7,14,0,0,4,8,7,8,3,0,1,3,4,18,0.2857142857142857,1.0
13,School Totals,31,54,22,34,9,20,12,20,12,33,14,1,2,18,12,83,0.2222222222222222,0.7777777777777778
