,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Vandersloot,8,18,5,10,3,8,6,6,2,1,9,2,0,1,1,25,0.3333333333333333,9.0
1,Katelan Redmon,6,21,5,17,1,4,0,0,0,1,0,0,0,2,0,13,0.0,0.0
2,Kayla Standish,7,16,5,14,2,2,1,2,2,3,0,2,0,1,4,17,0.0625,0.0
3,Janelle Bekkering,1,7,1,3,0,4,1,2,2,2,1,0,0,1,2,3,0.14285714285714285,1.0
4,Kelly Bowen,0,2,0,0,0,2,0,0,1,3,1,1,1,0,3,0,0.0,0.0
12,School Totals,23,68,17,47,6,21,8,10,9,13,12,6,1,6,12,60,0.11764705882352941,2.0
