,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine James,5,15,3,11,2,4,2,3,1,2,4,4,0,2,1,14,0.13333333333333333,2.0
1,Meredith Mitchell,5,13,5,11,0,2,0,0,2,5,4,1,0,4,2,10,0.0,1.0
2,Khaalidah Miller,4,8,1,3,3,5,0,0,1,1,0,2,0,4,2,11,0.0,0.0
3,Jasmine Hassell,3,7,3,7,0,0,0,0,3,1,0,1,0,2,5,6,0.0,0.0
4,Porsha Phillips,2,10,2,10,0,0,1,3,2,8,1,2,0,0,2,5,0.1,0.0
7,School Totals,24,66,16,47,8,19,5,8,11,18,9,11,0,12,18,61,0.07575757575757576,0.75
