,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Anriel Howard,8,11,8,10,0,1,2,5,9,10,2,2,1,1,1,18,0.18181818181818182,2.0
1,Danni Williams,1,10,1,5,0,5,6,6,0,2,1,0,0,1,0,8,0.6,1.0
2,Chennedy Carter,13,30,6,21,7,9,4,7,1,2,3,0,0,3,3,37,0.13333333333333333,1.0
3,Khaalia Hillsman,1,4,1,4,0,0,4,6,2,4,1,0,1,3,1,6,1.0,0.3333333333333333
4,Jasmine Lumpkin,0,5,0,5,0,0,3,3,3,7,0,2,0,1,2,3,0.6,0.0
8,School Totals,26,66,19,51,7,15,21,29,17,26,7,4,2,9,9,80,0.3181818181818182,0.7777777777777778
