,DePaul ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelly Campbell,3,6,1,3,2,3,0,0,1,4,7,1,0,1,4,8,0.0,7.0
1,Ashton Millender,4,14,1,3,3,11,0,0,1,5,4,0,0,0,3,11,0.0,0.0
2,Mart'e Grays,6,12,5,8,1,4,1,2,0,6,5,1,0,2,3,14,0.08333333333333333,2.5
3,Amarah Coleman,4,14,3,10,1,4,1,1,0,1,3,0,1,1,3,10,0.07142857142857142,3.0
4,Chante Stonewall,5,7,5,6,0,1,2,2,2,5,1,1,0,0,4,12,0.2857142857142857,0.0
8,School Totals,30,67,18,36,12,31,7,9,7,23,24,3,2,6,21,79,0.1044776119402985,4.0
