,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Destiny Slocum,2,8,2,5,0,3,1,2,2,5,7,1,0,2,0,5,0.125,3.5
1,Shatori Walker-Kimbrough,12,18,9,14,3,4,1,1,0,1,2,5,0,1,0,28,0.05555555555555555,2.0
2,Brionna Jones,11,17,11,17,0,0,3,4,5,5,1,4,2,0,1,25,0.17647058823529413,0.0
3,Kristen Confroy,2,3,2,2,0,1,0,0,1,0,2,1,0,0,0,4,0.0,0.0
4,Kaila Charles,2,3,2,3,0,0,1,1,3,3,0,1,1,0,2,5,0.3333333333333333,0.0
12,School Totals,42,72,38,61,4,11,15,22,17,23,22,13,5,5,15,103,0.20833333333333334,4.4
