,Rutgers ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Arella Guirantes,10,18,8,16,2,2,8,12,2,4,3,3,0,7,4,30,0.4444444444444444,0.42857142857142855
1,Diamond Johnson,5,7,4,6,1,1,2,2,0,4,2,3,0,2,0,13,0.2857142857142857,1.0
2,Mael Gilles,1,3,1,1,0,2,0,0,0,3,2,3,1,0,3,2,0.0,0.0
3,Tekia Mack,3,5,2,2,1,3,4,5,2,2,1,1,0,6,5,11,0.8,0.16666666666666666
4,Tyia Singleton,1,6,1,6,0,0,2,2,2,5,0,2,1,3,3,4,0.3333333333333333,0.0
9,School Totals,22,47,17,35,5,12,17,23,8,21,9,13,2,19,18,66,0.3617021276595745,0.47368421052631576
