,Brigham Young ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shaylee Gonzales,3,17,2,10,1,7,10,11,4,2,4,3,0,2,2,17,0.5882352941176471,2.0
1,Paisley Harding,8,17,4,8,4,9,8,10,3,2,1,0,1,9,4,28,0.47058823529411764,0.1111111111111111
2,Lauren Gustin,4,9,4,9,0,0,2,2,4,7,2,1,0,2,3,10,0.2222222222222222,1.0
3,Maria Albiero,0,3,0,1,0,2,0,0,0,0,1,1,0,1,0,0,0.0,1.0
4,Sara Hamson,1,1,1,1,0,0,0,0,2,1,0,0,1,1,4,2,0.0,0.0
8,School Totals,20,54,11,31,9,23,20,23,13,16,14,7,3,18,18,69,0.37037037037037035,0.7777777777777778
