,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Monique Billings,7,16,7,16,0,0,3,5,4,4,3,1,2,7,3,17,0.1875,0.42857142857142855
1,Jordin Canada,8,18,7,15,1,3,5,9,0,5,8,5,0,4,3,22,0.2777777777777778,2.0
2,Kennedy Burke,7,11,7,8,0,3,1,1,1,4,1,1,0,3,3,15,0.09090909090909091,0.3333333333333333
3,Lajahna Drummer,4,5,4,5,0,0,0,1,4,3,0,4,0,0,0,8,0.0,0.0
4,Kelli Hayes,1,4,1,2,0,2,0,0,0,2,0,0,0,0,2,2,0.0,0.0
9,School Totals,35,69,32,58,3,11,11,20,11,23,13,12,2,14,14,84,0.15942028985507245,0.9285714285714286
