,Hawaii ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Destiny King,2,9,2,7,0,2,4,8,4,5,2,0,0,4,4,8,0.4444444444444444,0.5
1,Sarah Toeaina,1,4,1,4,0,0,1,2,2,0,0,0,0,0,5,3,0.25,0.0
2,Ashleigh Karaitiana,0,7,0,2,0,5,2,2,1,2,2,0,1,3,2,2,0.2857142857142857,0.6666666666666666
3,Olivia Crawford,0,7,0,3,0,4,2,2,1,1,2,1,0,1,2,2,0.2857142857142857,2.0
4,Kalei Adolpho,1,5,1,5,0,0,0,0,3,4,0,1,0,1,0,2,0.0,0.0
10,School Totals,12,60,8,37,4,23,22,30,19,24,11,6,4,16,19,50,0.36666666666666664,0.6875
