,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany Brown,4,7,4,7,0,0,0,0,0,7,6,3,0,5,3,8,0.0,1.2
1,Leticia Romero,5,11,4,6,1,5,1,2,0,0,3,3,1,1,1,12,0.09090909090909091,3.0
2,Imani Wright,5,9,4,5,1,4,3,4,0,1,0,2,0,1,3,14,0.3333333333333333,0.0
3,Ivey Slaughter,3,5,3,5,0,0,3,4,3,5,1,1,2,4,2,9,0.6,0.25
4,Shakayla Thomas,10,20,10,20,0,0,3,4,4,10,0,1,0,1,0,23,0.15,0.0
12,School Totals,35,69,33,60,2,9,15,22,18,34,14,11,7,19,16,87,0.21739130434782608,0.7368421052631579
