,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kiara Leslie,8,13,6,11,2,2,9,10,1,5,0,0,1,1,1,27,0.6923076923076923,0.0
1,Aislinn Konig,4,9,3,4,1,5,0,0,0,1,4,2,0,1,0,9,0.0,4.0
2,Kaila Ealey,2,8,2,7,0,1,3,4,1,7,2,0,1,4,3,7,0.375,0.5
3,Chelsea Nelson,2,13,2,11,0,2,1,2,2,1,0,0,1,1,2,5,0.07692307692307693,0.0
4,Akela Maize,2,3,2,3,0,0,1,2,1,1,1,0,1,1,4,5,0.3333333333333333,1.0
9,School Totals,20,52,17,41,3,11,14,20,8,20,7,2,4,8,10,57,0.2692307692307692,0.875
