,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kiana Williams,4,14,4,13,0,1,0,0,0,0,3,1,0,0,2,8,0.0,0.0
1,Lexie Hull,4,17,2,15,2,2,8,8,6,7,4,2,1,3,2,18,0.47058823529411764,1.3333333333333333
2,Haley Jones,11,14,9,12,2,2,0,0,2,2,2,1,1,3,2,24,0.0,0.6666666666666666
3,Cameron Brink,3,4,3,4,0,0,0,0,1,3,0,0,6,3,4,6,0.0,0.0
4,Anna Wilson,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0.0,0.0
10,School Totals,25,60,20,52,5,8,11,12,15,19,11,7,12,12,15,66,0.18333333333333332,0.9166666666666666
