,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashley Houts,2,9,0,5,2,4,2,4,2,4,3,0,1,0,3,8,0.2222222222222222,0.0
1,Jasmine James,7,21,5,12,2,9,11,13,3,7,4,1,0,2,4,27,0.5238095238095238,2.0
2,Meredith Mitchell,5,11,2,3,3,8,2,6,3,1,4,0,2,2,3,15,0.18181818181818182,2.0
3,Angel Robinson,5,8,5,8,0,0,6,8,9,6,1,0,1,2,2,16,0.75,0.5
4,Porsha Phillips,1,6,1,5,0,1,3,4,4,6,0,1,2,3,5,5,0.5,0.0
9,School Totals,21,63,13,37,8,26,24,37,22,29,13,2,7,12,21,74,0.38095238095238093,1.0833333333333333
