,Oklahoma State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Andrea Riley,9,31,7,21,2,10,11,14,0,1,7,1,0,2,4,31,0.3548387096774194,3.5
1,Tegan Cunningham,8,19,5,14,3,5,6,6,2,5,1,4,1,1,5,25,0.3157894736842105,1.0
2,Toni Young,1,7,1,7,0,0,6,8,3,8,1,0,1,1,3,8,0.8571428571428571,1.0
3,Megan Byford,1,1,1,1,0,0,2,2,3,3,0,0,1,0,2,4,2.0,0.0
4,Carolyn Blair-Mobley,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0.0,0.0
9,School Totals,20,66,14,49,6,17,25,30,13,23,10,6,3,8,24,71,0.3787878787878788,1.25
