,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Mitchell,4,11,3,5,1,6,2,4,1,3,7,1,0,2,1,11,0.18181818181818182,3.5
1,Stephanie Mavunga,9,12,9,12,0,0,4,5,6,7,1,0,4,3,2,22,0.3333333333333333,0.3333333333333333
2,Linnae Harper,3,5,3,4,0,1,4,4,1,5,4,2,0,3,1,10,0.8,1.3333333333333333
3,Alexa Hart,6,9,6,9,0,0,0,0,1,4,1,0,0,0,0,12,0.0,0.0
4,Sierra Calhoun,2,6,1,3,1,3,4,4,0,3,0,1,0,1,2,9,0.6666666666666666,0.0
10,School Totals,33,59,28,45,5,14,16,21,11,35,20,7,6,14,10,87,0.2711864406779661,1.4285714285714286
