,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jill Barta,6,14,3,9,3,5,6,6,1,3,1,1,0,2,3,21,0.42857142857142855,0.5
1,Emma Stach,2,7,0,2,2,5,2,2,0,2,0,2,0,2,1,8,0.2857142857142857,0.0
2,Laura Stockton,5,7,5,6,0,1,4,5,0,1,4,1,0,2,4,14,0.5714285714285714,2.0
3,Chandler Smith,2,7,2,5,0,2,1,2,1,1,0,3,0,4,1,5,0.14285714285714285,0.0
4,Zykera Rice,1,3,1,3,0,0,0,0,0,2,1,1,0,0,4,2,0.0,0.0
10,School Totals,23,56,18,39,5,17,17,19,5,15,8,10,1,14,18,68,0.30357142857142855,0.5714285714285714
