,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lauren Cox,9,14,9,13,0,1,3,4,5,6,7,2,3,3,2,21,0.21428571428571427,2.3333333333333335
1,Chloe Jackson,3,11,3,11,0,0,0,0,1,6,6,0,0,0,0,6,0.0,0.0
2,Juicy Landrum,3,8,3,6,0,2,0,0,0,9,1,2,1,4,1,6,0.0,0.25
3,Kalani Brown,9,12,9,12,0,0,4,8,3,4,2,0,1,5,3,22,0.3333333333333333,0.4
4,DiDi Richards,6,10,6,10,0,0,3,3,0,1,2,1,0,1,4,15,0.3,2.0
7,School Totals,31,57,31,54,0,3,10,15,9,28,18,5,6,13,11,72,0.17543859649122806,1.3846153846153846
