,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sabrina Ionescu,6,24,2,13,4,11,2,2,1,3,6,0,0,3,1,18,0.08333333333333333,2.0
1,Maite Cazorla,4,8,3,6,1,2,0,0,0,6,4,1,0,2,1,9,0.0,2.0
2,Erin Boley,5,13,1,1,4,12,0,0,0,1,0,1,1,3,5,14,0.0,0.0
3,Ruthy Hebard,2,4,2,4,0,0,0,1,4,5,0,3,0,3,2,4,0.0,0.0
4,Satou Sabally,5,13,2,6,3,7,3,4,2,1,2,1,0,2,4,16,0.23076923076923078,1.0
8,School Totals,25,68,13,36,12,32,5,7,10,18,14,7,1,13,15,67,0.07352941176470588,1.0769230769230769
