,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alexis Peterson,8,23,6,16,2,7,5,5,1,4,1,1,0,6,3,23,0.21739130434782608,0.16666666666666666
1,Cornelia Fondren,5,16,5,15,0,1,6,8,2,3,4,1,0,1,4,16,0.375,4.0
2,Brianna Butler,3,10,1,4,2,6,4,4,0,2,1,0,0,1,1,12,0.4,1.0
3,Briana Day,0,1,0,1,0,0,3,4,2,5,1,0,1,1,3,3,3.0,1.0
4,Isabella Slim,1,5,0,0,1,5,0,0,0,0,0,0,1,1,4,3,0.0,0.0
10,School Totals,21,63,13,37,8,26,18,23,10,22,8,3,4,13,24,68,0.2857142857142857,0.6153846153846154
