,North Carolina A&T ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,C'coriea Foy,2,15,1,11,1,4,0,2,3,3,2,0,1,4,0,5,0.0,0.5
1,Cinia McCray,1,5,1,5,0,0,0,0,0,1,3,1,0,1,1,2,0.0,3.0
2,Shantell Bostick,4,6,4,6,0,0,7,8,1,1,2,1,0,1,0,15,1.1666666666666667,2.0
3,Quenswayla Story,2,6,1,1,1,5,0,0,0,3,0,0,1,0,2,5,0.0,0.0
4,Alexus Lessears,0,1,0,1,0,0,1,2,2,3,0,0,0,1,5,1,1.0,0.0
10,School Totals,17,58,10,41,7,17,11,16,7,22,10,10,3,13,17,52,0.1896551724137931,0.7692307692307693
