,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Doniyah Cliney,4,8,4,7,0,1,0,0,1,1,0,0,0,0,2,8,0.0,0.0
1,A'ja Wilson,6,15,6,15,0,0,7,7,2,14,2,4,5,5,2,19,0.4666666666666667,0.4
2,Bianca Jackson,6,12,3,7,3,5,1,2,1,2,1,1,0,2,3,16,0.08333333333333333,0.5
3,Tyasha Harris,1,5,1,2,0,3,1,1,0,3,1,1,1,3,2,3,0.2,0.3333333333333333
4,Alexis Jennings,0,2,0,2,0,0,7,8,2,8,2,0,1,2,2,7,3.5,1.0
9,School Totals,20,52,16,40,4,12,19,22,7,33,7,9,8,17,13,63,0.36538461538461536,0.4117647058823529
