,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Japreece Dean,3,17,1,9,2,8,6,6,1,2,5,0,0,1,0,14,0.35294117647058826,5.0
1,Michaela Onyenwere,10,22,10,20,0,2,2,2,6,9,2,0,1,4,4,22,0.09090909090909091,0.5
2,Lindsey Corsaro,6,8,2,2,4,6,2,2,0,4,4,0,1,1,4,18,0.25,4.0
3,Lajahna Drummer,4,8,4,8,0,0,2,4,3,4,1,2,1,2,4,10,0.25,0.5
4,Kennedy Burke,6,12,5,10,1,2,6,8,1,3,3,3,0,0,4,19,0.5,0.0
10,School Totals,31,73,24,53,7,20,20,25,15,23,15,7,4,9,20,89,0.273972602739726,1.6666666666666667
