,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Carlee Roethlisberger,5,10,1,1,4,9,0,0,2,9,5,0,0,3,3,14,0.0,1.6666666666666667
1,Whitney Hand,9,15,6,8,3,7,6,6,4,1,4,2,1,4,2,27,0.4,1.0
2,Danielle Robinson,5,17,5,16,0,1,8,8,3,3,11,4,0,3,3,18,0.47058823529411764,3.6666666666666665
3,Aaryn Ellenberg,4,14,0,2,4,12,1,2,0,0,1,0,1,2,3,13,0.07142857142857142,0.5
4,Nicole Griffin,2,4,2,4,0,0,0,1,2,3,0,1,0,2,1,4,0.0,0.0
9,School Totals,29,68,18,39,11,29,19,22,17,27,22,8,2,18,14,88,0.27941176470588236,1.2222222222222223
