,Miami ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shenise Johnson,10,20,8,14,2,6,3,4,1,3,6,3,0,3,2,25,0.15,2.0
1,Morgan Stroman,8,17,8,16,0,1,2,3,6,8,4,2,1,4,2,18,0.11764705882352941,1.0
2,Stefanie Yderstrom,5,12,1,3,4,9,0,0,0,0,0,2,0,2,4,14,0.0,0.0
3,Sylvia Bullock,2,5,2,5,0,0,1,2,4,3,1,1,1,1,3,5,0.2,1.0
4,Riquna Williams,5,16,3,9,2,7,5,6,3,4,4,1,1,3,5,17,0.3125,1.3333333333333333
9,School Totals,32,73,24,50,8,23,11,15,15,21,16,9,3,15,20,83,0.1506849315068493,1.0666666666666667
