,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jakia Brown-Turner,5,9,2,2,3,7,2,3,5,2,2,0,0,0,1,15,0.2222222222222222,0.0
1,Kai Crutchfield,0,3,0,1,0,2,0,0,0,4,5,3,1,0,2,0,0.0,0.0
2,Raina Perez,7,8,5,5,2,3,0,0,0,4,1,1,0,1,0,16,0.0,1.0
3,Elissa Cunane,3,5,3,5,0,0,7,8,3,4,2,0,1,3,3,13,1.4,0.6666666666666666
4,Kayla Jones,2,6,2,6,0,0,2,5,1,2,2,2,0,2,2,6,0.3333333333333333,1.0
13,School Totals,36,72,28,47,8,25,16,22,18,26,15,9,5,12,19,96,0.2222222222222222,1.25
