,Longwood ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tra'Dayja Smith,8,20,3,7,5,13,4,4,0,3,6,2,0,4,2,25,0.2,1.5
1,Kyla McMakin,7,20,5,9,2,11,3,3,2,3,1,1,0,4,3,19,0.15,0.25
2,Akila Smith,4,14,4,14,0,0,2,4,1,6,2,1,1,2,2,10,0.14285714285714285,1.0
3,Kennedy Calhoun,0,2,0,1,0,1,0,0,4,0,0,0,0,2,2,0,0.0,0.0
4,Briana Johns,2,6,0,0,2,6,1,2,1,1,0,0,1,0,3,7,0.16666666666666666,0.0
9,School Totals,23,69,14,37,9,32,13,16,15,21,9,4,2,14,18,68,0.18840579710144928,0.6428571428571429
