,Iona ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Marina Lizarazu,5,16,4,11,1,5,0,0,0,1,6,0,0,6,2,11,0.0,1.0
1,Philecia Gilmore,7,19,0,4,7,15,0,0,2,3,1,3,0,3,3,21,0.0,0.3333333333333333
2,Joy Adams,3,12,3,11,0,1,0,0,3,3,2,5,1,1,2,6,0.0,2.0
3,Karynda DuPree,0,1,0,1,0,0,0,0,1,2,0,0,0,1,3,0,0.0,0.0
4,Aaliyah Robinson,1,3,1,1,0,2,0,0,1,0,2,0,0,0,0,2,0.0,0.0
8,School Totals,21,65,11,35,10,30,6,7,12,12,12,9,1,11,17,58,0.09230769230769231,1.0909090909090908
