,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shatori Walker-Kimbrough,4,9,3,8,1,1,10,10,1,5,4,2,0,4,0,19,1.1111111111111112,1.0
1,Kristen Confroy,1,4,0,1,1,3,0,0,2,7,3,1,0,3,0,3,0.0,1.0
2,Malina Howard,5,8,5,8,0,0,0,0,0,4,1,0,0,0,3,10,0.0,0.0
3,Chloe Pavlech,0,0,0,0,0,0,1,2,0,0,2,1,0,2,2,1,0.0,1.0
4,Brionna Jones,5,7,5,7,0,0,1,2,5,6,1,1,1,2,4,11,0.14285714285714285,0.5
9,School Totals,28,48,25,42,3,6,15,19,10,28,17,9,1,19,14,74,0.3125,0.8947368421052632
