,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Rhyne Howard,8,21,3,9,5,12,7,9,5,0,8,6,0,0,2,28,0.3333333333333333,0.0
1,Jazmine Massengill,4,8,4,8,0,0,2,2,1,3,2,2,1,1,0,10,0.25,2.0
2,KeKe McKinney,0,3,0,2,0,1,2,2,4,3,1,0,3,2,1,2,0.6666666666666666,0.5
3,Chasity Patterson,1,13,1,8,0,5,0,0,3,1,1,1,0,1,3,2,0.0,1.0
4,Tatyana Wyatt,1,3,1,2,0,1,2,2,0,2,0,1,0,1,1,4,0.6666666666666666,0.0
10,School Totals,26,74,19,47,7,27,13,16,19,14,13,13,4,7,13,72,0.17567567567567569,1.8571428571428572
