,Winthrop ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dequesha McClanahan,7,20,4,15,3,5,5,6,1,5,6,2,0,6,4,22,0.25,1.0
1,Samiya Wright,4,13,0,3,4,10,0,0,0,0,0,0,0,0,3,12,0.0,0.0
2,Taylor Calvert,0,1,0,1,0,0,0,0,1,1,2,1,1,1,3,0,0.0,2.0
3,Erica Williams,0,8,0,7,0,1,0,0,1,2,1,0,0,3,0,0,0.0,0.3333333333333333
4,Schaquilla Nunn,2,3,2,3,0,0,1,1,2,3,0,0,0,2,2,5,0.3333333333333333,0.0
13,School Totals,15,55,6,32,9,23,6,7,7,15,11,6,1,17,16,45,0.10909090909090909,0.6470588235294118
