,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Victoria Vivians,8,18,7,13,1,5,4,5,2,7,0,4,0,1,3,21,0.2222222222222222,0.0
1,Teaira McCowan,7,19,7,19,0,0,4,8,6,11,1,2,2,3,5,18,0.21052631578947367,0.3333333333333333
2,Roshunda Johnson,1,6,0,1,1,5,0,0,0,2,0,1,0,2,3,3,0.0,0.0
3,Blair Schaefer,2,5,0,0,2,5,0,0,0,2,1,0,0,2,4,6,0.0,0.5
4,Morgan William,3,4,3,3,0,1,0,0,0,0,2,0,0,3,3,6,0.0,0.6666666666666666
9,School Totals,22,59,18,43,4,16,10,17,9,25,9,8,2,13,21,58,0.1694915254237288,0.6923076923076923
