,Princeton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Julia Cunningham,5,14,4,9,1,5,2,2,1,2,2,2,1,1,3,13,0.14285714285714285,2.0
1,Ellie Mitchell,3,6,3,6,0,0,0,0,5,10,1,1,1,1,2,6,0.0,1.0
2,Kaitlyn Chen,3,13,3,13,0,0,4,4,3,2,2,0,0,4,2,10,0.3076923076923077,0.5
3,Grace Stone,5,12,2,7,3,5,0,0,0,1,1,1,0,1,3,13,0.0,1.0
4,Abby Meyers,4,15,3,8,1,7,2,4,1,2,1,0,0,1,4,11,0.13333333333333333,1.0
7,School Totals,21,62,16,45,5,17,8,10,10,17,8,5,2,8,15,55,0.12903225806451613,1.0
