,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Elissa Cunane,8,13,8,11,0,2,2,2,2,7,2,0,1,5,2,18,0.15384615384615385,0.4
1,Jakia Brown-Turner,6,14,4,7,2,7,6,6,1,7,5,1,2,1,1,20,0.42857142857142855,5.0
2,Kai Crutchfield,4,10,2,6,2,4,2,3,0,3,1,0,1,1,3,12,0.2,1.0
3,Raina Perez,1,8,0,3,1,5,0,0,0,4,10,1,0,1,2,3,0.0,10.0
4,Kayla Jones,6,8,6,7,0,1,0,0,1,8,2,1,3,3,4,12,0.0,0.6666666666666666
8,School Totals,32,66,25,43,7,23,16,19,6,30,20,4,7,13,16,87,0.24242424242424243,1.5384615384615385
