,Boise State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Riley Lupfer,3,11,1,3,2,8,1,2,1,2,0,1,0,0,1,9,0.09090909090909091,0.0
1,Marta Hermida,4,15,3,8,1,7,0,0,2,4,2,1,1,9,1,9,0.0,0.2222222222222222
2,Braydey Hodgins,1,9,1,6,0,3,4,8,1,5,1,2,0,2,4,6,0.4444444444444444,0.5
3,Shalen Shaw,4,13,3,6,1,7,3,4,1,4,1,1,0,3,3,12,0.23076923076923078,0.3333333333333333
4,A'Shanti Coleman,0,3,0,2,0,1,0,0,1,1,2,0,0,0,4,0,0.0,0.0
12,School Totals,14,59,10,29,4,30,10,16,7,21,7,6,2,16,19,42,0.1694915254237288,0.4375
