,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Yashira Delgado,3,7,3,5,0,2,0,0,0,3,3,3,0,3,1,6,0.0,1.0
1,Natasha Howard,4,13,4,13,0,0,1,1,4,3,1,1,0,0,3,9,0.07692307692307693,0.0
2,Emiah Bingley,2,9,1,2,1,7,0,1,0,2,0,1,0,5,2,5,0.0,0.0
3,Brittany Brown,3,6,3,5,0,1,1,1,2,5,3,2,0,2,2,7,0.16666666666666666,1.5
4,Lauren Coleman,0,5,0,1,0,4,0,0,2,0,1,0,0,0,0,0,0.0,0.0
8,School Totals,18,58,15,38,3,20,5,9,11,22,10,7,1,15,14,44,0.08620689655172414,0.6666666666666666
