,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chiney Ogwumike,8,11,8,11,0,0,5,7,2,7,1,0,1,1,3,21,0.45454545454545453,1.0
1,Amber Orrange,3,7,3,4,0,3,1,2,0,5,4,0,0,4,3,7,0.14285714285714285,1.0
2,Lili Thompson,4,9,2,4,2,5,4,4,0,3,2,1,0,2,4,14,0.4444444444444444,1.0
3,Mikaela Ruef,3,5,3,5,0,0,2,2,0,7,5,3,0,3,2,8,0.4,1.6666666666666667
4,Sara James,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
9,School Totals,23,47,18,28,5,19,12,15,2,27,18,7,2,12,12,63,0.2553191489361702,1.5
