,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chanel Mokango,9,11,9,9,0,2,1,2,1,2,0,1,0,1,2,19,0.09090909090909091,0.0
1,Mary Kathryn Govero,5,10,0,4,5,6,0,0,3,2,2,5,0,0,2,15,0.0,0.0
2,Alexis Rack,10,18,4,6,6,12,4,4,0,3,6,2,1,6,1,30,0.2222222222222222,1.0
3,Armelie Lumanu,8,14,8,14,0,0,1,5,2,4,5,6,0,2,2,17,0.07142857142857142,2.5
4,Rima Kalonda,1,3,1,3,0,0,0,0,1,1,1,0,0,0,1,2,0.0,0.0
8,School Totals,34,61,22,39,12,22,7,13,7,16,21,14,2,10,9,87,0.11475409836065574,2.1
